Iteration,Carrier 0 Acceleration,Carrier 1 Acceleration,Carrier 2  Acceleration,Carrier 3  Acceleration,Carrier 4  Acceleration,Carrier 5  Acceleration,Carrier 6  Acceleration,Carrier 7  Acceleration
1,7247,324234,4535,32435,324,234,3243,32424
2,4267,5435,3456,356,3434,345,4545,46
3,24,4535,34,435,435,435,123,434
4,345,247,4324,45,2432,5345,4534,234234
5,543,854,34,534,435,345,534,432
6,247,345345,234234,45,343,3,435,435
7,324,5467,423,45,43,23465,454,23
8,7767,23434,54,34,4,1254,435345,12313
9,24,56456,234,435435,343,5345,545,876
10,234,24,3454545,234,5,45,568,324
11,247,345,545,435,435435,45,213515,213
12,453,5656,45,324,34234,435,7,3246
13,7865,75757,7574,45435,34,45,54,234
14,7247,435,324234,32,234,435,4234,434
15,345,3454,5,23,324324,523,45,12354
