Iteration,Carrier 0 Speed,Carrier 1 Speed,Carrier 2  Speed,Carrier 3  Speed,Carrier 4  Speed,Carrier 5  Speed,Carrier 6  Speed,Carrier 7  Speed
1,7247,436,344,32435,324,3,3243,32
2,4,4,5,54,3434,313,263,346
3,35,6,45,453,435,2,36,346
4,34,346,35,3,345,34,4534,34
5,5,8,3,345,3,234,36,235
6,345,378,73,46,673,67,26,46
7,34,37,47,73,73,32,236,3
8,5,45,354,7,46,89,36,5
9,345,53,3,3,3,5345,362,3
10,345,34,45,345,5,8,34,31
11,3,345,345,435,25,637,6,12
12,67,345,356,354,235,3,6,34123
13,3734,5,7,45,13,45,325,12
14,7347,4,3747,3,562,435,45,34
15,345,3454,5,4345,5,523,45,36
