# time;position;energy
0.00000;0.00000;0.00000
1.00000;0.00000;0.00000
2.00000;0.00000;0.00000
3.00000;0.00000;0.00000
4.00000;0.00000;0.00000
5.00000;0.00000;0.00000
6.00000;0.37204;0.01362
7.00000;0.77905;0.01482
8.00000;1.22096;0.01600
9.00000;1.69772;0.01718
10.00000;2.20924;0.01836
11.00000;2.75548;0.01953
12.00000;3.33637;0.02069
13.00000;3.95184;0.02184
14.00000;4.60183;0.02299
15.00000;5.28628;0.02413
16.00000;6.00512;0.02527
17.00000;6.75829;0.02640
18.00000;7.54573;0.02752
19.00000;8.36737;0.02863
20.00000;9.22315;0.02974
21.00000;10.11301;0.03084
22.00000;11.03688;0.03194
23.00000;11.99469;0.03303
24.00000;12.98639;0.03411
25.00000;14.01191;0.03519
26.00000;15.07119;0.03626
27.00000;16.16417;0.03732
28.00000;17.29077;0.03838
29.00000;18.45094;0.03943
30.00000;19.64461;0.04048
31.00000;20.87173;0.04151
32.00000;22.13221;0.04254
33.00000;23.42602;0.04357
34.00000;24.75306;0.04459
35.00000;26.11330;0.04560
36.00000;27.50665;0.04661
37.00000;28.93307;0.04761
38.00000;30.39247;0.04860
39.00000;31.88481;0.04959
40.00000;33.41001;0.05057
41.00000;34.96802;0.05154
42.00000;36.55877;0.05251
43.00000;38.18219;0.05348
44.00000;39.83822;0.05443
45.00000;41.52681;0.05538
46.00000;43.24788;0.05633
47.00000;45.00137;0.05726
48.00000;46.78722;0.05819
49.00000;48.60536;0.05912
50.00000;50.45573;0.06004
51.00000;52.33827;0.06095
52.00000;54.25291;0.06186
53.00000;56.19960;0.06276
54.00000;58.17826;0.06365
55.00000;60.18883;0.06454
56.00000;62.23125;0.06542
57.00000;64.30546;0.06630
58.00000;66.41138;0.06717
59.00000;68.54897;0.06804
60.00000;70.71815;0.06889
61.00000;72.91886;0.06975
62.00000;75.15104;0.07059
63.00000;77.41462;0.07143
64.00000;79.70955;0.07227
65.00000;82.03574;0.07309
66.00000;84.39316;0.07392
67.00000;86.78172;0.07473
68.00000;89.20136;0.07554
69.00000;91.65203;0.07635
70.00000;94.13366;0.07715
71.00000;96.64618;0.07794
72.00000;99.18953;0.07873
73.00000;101.76365;0.07951
74.00000;104.36847;0.08028
75.00000;107.00394;0.08105
76.00000;109.66998;0.08181
77.00000;112.36653;0.08257
78.00000;115.09353;0.08332
79.00000;117.85092;0.08407
80.00000;120.63863;0.08481
81.00000;123.45660;0.08554
82.00000;126.30476;0.08627
83.00000;129.18306;0.08700
84.00000;132.09142;0.08771
85.00000;135.02979;0.08842
86.00000;137.99809;0.08913
87.00000;140.99628;0.08983
88.00000;144.02428;0.09052
89.00000;147.08202;0.09121
90.00000;150.16945;0.09190
91.00000;153.28651;0.09257
92.00000;156.43312;0.09324
93.00000;159.60923;0.09391
94.00000;162.81477;0.09457
95.00000;166.04968;0.09523
96.00000;169.31389;0.09588
97.00000;172.60735;0.09652
98.00000;175.92998;0.09716
99.00000;179.28172;0.09779
