# time;position;energy
0.00000;0.00000;0.00000
1.00000;0.00000;0.00000
2.00000;0.00000;0.00000
3.00000;0.00000;0.00000
4.00000;0.00000;0.00000
5.00000;0.00000;0.00000
6.00000;0.09406;0.00087
7.00000;0.19694;0.00094
8.00000;0.30862;0.00102
9.00000;0.42909;0.00109
10.00000;0.55831;0.00117
11.00000;0.69628;0.00124
12.00000;0.84297;0.00131
13.00000;0.99837;0.00139
14.00000;1.16246;0.00146
15.00000;1.33521;0.00153
16.00000;1.51662;0.00160
17.00000;1.70665;0.00167
18.00000;1.90529;0.00174
19.00000;2.11253;0.00181
20.00000;2.32834;0.00188
21.00000;2.55270;0.00195
22.00000;2.78560;0.00202
23.00000;3.02702;0.00209
24.00000;3.27693;0.00215
25.00000;3.53532;0.00222
26.00000;3.80217;0.00229
27.00000;4.07746;0.00235
28.00000;4.36117;0.00242
29.00000;4.65329;0.00248
30.00000;4.95379;0.00255
31.00000;5.26265;0.00261
32.00000;5.57986;0.00268
33.00000;5.90540;0.00274
34.00000;6.23925;0.00280
35.00000;6.58138;0.00286
36.00000;6.93179;0.00293
37.00000;7.29044;0.00299
38.00000;7.65733;0.00305
39.00000;8.03243;0.00311
40.00000;8.41573;0.00317
41.00000;8.80720;0.00323
42.00000;9.20683;0.00329
43.00000;9.61460;0.00334
44.00000;10.03048;0.00340
45.00000;10.45447;0.00346
46.00000;10.88653;0.00352
47.00000;11.32666;0.00357
48.00000;11.77483;0.00363
49.00000;12.23103;0.00368
50.00000;12.69523;0.00374
51.00000;13.16741;0.00379
52.00000;13.64756;0.00385
53.00000;14.13567;0.00390
54.00000;14.63170;0.00396
55.00000;15.13564;0.00401
56.00000;15.64747;0.00406
57.00000;16.16718;0.00411
58.00000;16.69473;0.00416
59.00000;17.23013;0.00422
60.00000;17.77334;0.00427
61.00000;18.32434;0.00432
62.00000;18.88313;0.00437
63.00000;19.44967;0.00442
64.00000;20.02395;0.00446
65.00000;20.60596;0.00451
66.00000;21.19566;0.00456
67.00000;21.79305;0.00461
68.00000;22.39811;0.00466
69.00000;23.01081;0.00470
70.00000;23.63113;0.00475
71.00000;24.25906;0.00479
72.00000;24.89458;0.00484
73.00000;25.53767;0.00488
74.00000;26.18832;0.00493
75.00000;26.84649;0.00497
76.00000;27.51218;0.00502
77.00000;28.18535;0.00506
78.00000;28.86601;0.00510
79.00000;29.55412;0.00515
80.00000;30.24967;0.00519
81.00000;30.95263;0.00523
82.00000;31.66300;0.00527
83.00000;32.38074;0.00531
84.00000;33.10585;0.00535
85.00000;33.83830;0.00539
86.00000;34.57807;0.00543
87.00000;35.32515;0.00547
88.00000;36.07951;0.00551
89.00000;36.84114;0.00555
90.00000;37.61001;0.00558
91.00000;38.38612;0.00562
92.00000;39.16943;0.00566
93.00000;39.95994;0.00570
94.00000;40.75762;0.00573
95.00000;41.56245;0.00577
96.00000;42.37441;0.00580
97.00000;43.19349;0.00584
98.00000;44.01967;0.00587
99.00000;44.85292;0.00591
